date,Ticker,Cumulative Return
2023-10-03 05:30:00,BAJAJ-AUTO,
2023-10-04 05:30:00,BAJAJ-AUTO,0.9804941741669907
2023-10-05 05:30:00,BAJAJ-AUTO,0.9989235415483061
2023-10-06 05:30:00,BAJAJ-AUTO,0.999631213308216
2023-10-09 05:30:00,BAJAJ-AUTO,0.998176000956852
2023-10-10 05:30:00,BAJAJ-AUTO,1.004196194520029
2023-10-11 05:30:00,BAJAJ-AUTO,1.0095585523627266
2023-10-12 05:30:00,BAJAJ-AUTO,1.017970875818557
2023-10-13 05:30:00,BAJAJ-AUTO,1.0071664224700734
2023-10-16 05:30:00,BAJAJ-AUTO,1.0120104855026961
2023-10-17 05:30:00,BAJAJ-AUTO,1.024878150883593
2023-10-18 05:30:00,BAJAJ-AUTO,1.0241007086684806
2023-10-19 05:30:00,BAJAJ-AUTO,1.0929242791216895
2023-10-20 05:30:00,BAJAJ-AUTO,1.0942598849784209
2023-10-23 05:30:00,BAJAJ-AUTO,1.0775349101456206
2023-10-25 05:30:00,BAJAJ-AUTO,1.0659530145820248
2023-10-26 05:30:00,BAJAJ-AUTO,1.0484206959104543
2023-10-27 05:30:00,BAJAJ-AUTO,1.0711857987222035
2023-10-30 05:30:00,BAJAJ-AUTO,1.0582981989255345
2023-10-31 05:30:00,BAJAJ-AUTO,1.0593248213377982
2023-11-01 05:30:00,BAJAJ-AUTO,1.0653649493167474
2023-11-02 05:30:00,BAJAJ-AUTO,1.0601919684238847
2023-11-03 05:30:00,BAJAJ-AUTO,1.0702688155966862
2023-11-06 05:30:00,BAJAJ-AUTO,1.077823959174316
2023-11-07 05:30:00,BAJAJ-AUTO,1.0802459906906272
2023-11-08 05:30:00,BAJAJ-AUTO,1.0759800257153957
2023-11-09 05:30:00,BAJAJ-AUTO,1.080226056274855
2023-11-10 05:30:00,BAJAJ-AUTO,1.0748736656400435
2023-11-12 05:30:00,BAJAJ-AUTO,1.084940545604959
2023-11-13 05:30:00,BAJAJ-AUTO,1.081481924468498
2023-11-15 05:30:00,BAJAJ-AUTO,1.1037087980544003
2023-11-16 05:30:00,BAJAJ-AUTO,1.1065394850940398
2023-11-17 05:30:00,BAJAJ-AUTO,1.1226066242063601
2023-11-20 05:30:00,BAJAJ-AUTO,1.1263243927478586
2023-11-21 05:30:00,BAJAJ-AUTO,1.133460913594274
2023-11-22 05:30:00,BAJAJ-AUTO,1.1465378903407781
2023-11-23 05:30:00,BAJAJ-AUTO,1.1811639705369326
2023-11-24 05:30:00,BAJAJ-AUTO,1.182170658533424
2023-11-28 05:30:00,BAJAJ-AUTO,1.1956961596348004
2023-11-29 05:30:00,BAJAJ-AUTO,1.2100090701591752
2023-11-30 05:30:00,BAJAJ-AUTO,1.2141155598082298
2024-01-01 05:30:00,BAJAJ-AUTO,1.3358251353048458
2024-01-02 05:30:00,BAJAJ-AUTO,1.3286387784190004
2024-01-03 05:30:00,BAJAJ-AUTO,1.392717957918447
2024-01-04 05:30:00,BAJAJ-AUTO,1.3798901613690944
2024-01-05 05:30:00,BAJAJ-AUTO,1.3911232046566782
2024-01-08 05:30:00,BAJAJ-AUTO,1.392189695900486
2024-01-09 05:30:00,BAJAJ-AUTO,1.4141275204576924
2024-01-10 05:30:00,BAJAJ-AUTO,1.4061238525251905
